,Views_7_days,Country,Price_EUR,Year_Built
980,55,France,49000.0,2018
981,92,Slovak Republic,49000.0,2010
982,128,Germany,49000.0,2007
984,104,Portugal,49000.0,2007
985,352,Germany,49000.0,1979
988,194,Italy,49000.0,2005
991,352,Austria,49000.0,1991
992,346,Portugal,49000.0,2009
993,209,Germany,49500.0,1992
994,174,Germany,49500.0,1992
997,70,Germany,49499.0,2018
998,91,Austria,49490.0,2020
999,125,Netherlands,49450.0,2001
1004,89,Spain,49300.0,1993
1005,59,Germany,49300.0,2019
1006,158,Hungary,49900.0,2019
1007,36,France,49900.0,2017
1009,139,Donau,49900.0,2020
1010,279,Donau,49900.0,2020
1011,119,Germany,49900.0,2020
1013,89,Germany,49890.0,2020
1014,194,Switzerland,52862.74509803922,2020
1015,186,Switzerland,52843.13725490196,2019
1016,70,Germany,49850.0,2019
1017,54,Germany,49850.0,2019
1018,347,Croatia (Hrvatska),49800.0,1984
1019,294,Germany,49800.0,2002
1020,237,Brandenburg an derHavel,49800.0,2005
1021,210,Poland,50000.0,2017
1023,368,Belgium,50000.0,2013
1024,230,France,50000.0,1978
1026,67,Germany,49999.0,2019
1027,64,Germany,49999.0,2020
1032,160,Germany,49950.0,2019
1033,388,Rügen,49950.0,2002
1034,513,Switzerland,49950.0,2007
1035,164,Switzerland,49949.0,2019
1036,140,Portugal,50652.0,2019
1037,56,Germany,50590.0,2020
1040,74,United Kingdom,39612.06896551725,2017
1044,67,Italy,50200.0,2020
1045,50,France,50200.0,2019
1047,281,Switzerland,53025.490196078434,2020
1048,75,Italy,50000.0,2007
1049,145,Croatia (Hrvatska),50000.0,1987
1051,112,Croatia (Hrvatska),50000.0,1982
1052,161,Switzerland,55166.666666666664,2020
1053,270,Germany,52000.0,2020
1054,213,Croatia (Hrvatska),52000.0,2001
1055,52,Italy,52000.0,1989
1056,77,Italy,52000.0,2002
1057,37,Italy,52000.0,1988
1059,46,Croatia (Hrvatska),52000.0,2001
1060,121,Germany,52000.0,1981
1063,162,France,52000.0,1988
1067,150,Italy,52000.0,1990
1070,172,Switzerland,56862.74509803922,2003
1071,129,Austria,53648.0,2020
1074,153,Germany,53565.0,2020
1075,167,Switzerland,56764.70588235294,1994
1076,265,Croatia (Hrvatska),53500.0,2009
1077,44,Germany,53499.0,2020
1080,281,Denmark,3038461.5384615385,1981
1081,175,Germany,53049.0,2019
1085,50,Italy,54500.0,2005
1087,187,Italy,54500.0,2005
1088,218,Germany,54490.0,2019
1089,187,Switzerland,57745.098039215685,2020
1090,82,Germany,54370.0,2020
1091,36,Germany,54370.0,2020
1092,79,Germany,54370.0,2020
1093,101,Germany,54370.0,2020
1097,317,Germany,54106.0,2020
1098,95,Germany,54070.0,2018
1099,69,France,55000.0,2011
1100,88,France,55000.0,2011
1101,155,Poland,55000.0,2014
1103,254,Italy,55000.0,2011
1104,63,France,55000.0,2016
1105,65,Italy,55000.0,2007
1106,203,France,55000.0,2001
1107,183,Germany,55000.0,2004
1108,192,Croatia (Hrvatska),55000.0,1986
1110,348,Germany,54999.0,2020
1111,385,Switzerland,57843.13725490196,1989
1112,234,Croatia (Hrvatska),55000.0,2004
1113,35,Italy,55000.0,2007
1116,120,Italy,55000.0,2009
1117,88,Italy,55000.0,2003
1118,120,Portugal,55000.0,1992
1120,113,Spain,55000.0,1996
1121,68,France,55000.0,1989
1122,50,Italy,55000.0,1990
1123,151,Croatia (Hrvatska),55000.0,1984
1124,107,Italy,55000.0,2004
1125,57,Croatia (Hrvatska),55000.0,2002
1126,100,Italy,55000.0,1982
1127,94,Italy,55000.0,1999
1128,172,Germany,56000.0,1992
1129,28,Italy,56000.0,2002
1130,47,Croatia (Hrvatska),56000.0,2018
1131,87,Italy,56000.0,2006
1132,24,France,56000.0,2019
1134,62,France,56000.0,2017
1135,50,Croatia (Hrvatska),56000.0,2005
1136,59,France,56000.0,2017
1138,52,France,56000.0,2020
1139,27,France,56000.0,2018
1140,54,France,56000.0,2018
1141,85,France,56000.0,2020
1142,180,Switzerland,59268.62745098039,2019
1143,672,Switzerland,60784.313725490196,2007
1144,350,Switzerland,60784.313725490196,1997
1145,363,Germany,57035.0,2020
1147,133,Italy,57000.0,1993
1148,67,Croatia (Hrvatska),57000.0,2005
1150,57,Italy,57000.0,1989
1153,82,France,57000.0,2005
1154,106,France,57000.0,2011
1155,67,Italy,57000.0,1998
1156,28,France,57000.0,2020
1157,41,France,57000.0,2020
1158,67,Germany,58100.0,2020
1159,51,Germany,58000.0,1933
1160,236,Croatia (Hrvatska),58000.0,1978
1162,51,Italy,58000.0,1988
1163,67,Italy,58000.0,1998
